Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Mongolia,5.02919998474121,0.941191173118592,1.38628824723816,0.5914306968917846,0.3804247937641144,0.3008308460597992,0.03248245783638954,2017.0
Montenegro,5.291999997711182,1.048377807189942,1.1051352996444699,0.725600934703827,0.1969398110790252,0.1568442048187256,0.10386883881950378,2017.0
Morocco,5.17220002670288,0.8066969162216185,0.6761528870391846,0.650592133808136,0.3919056664218902,0.0412919910311699,0.08145263656377792,2017.0
Mozambique,4.601000047683715,0.179846412498951,0.9462402537488938,0.1902411088490485,0.46154027297973627,0.2369795259690285,0.15786659640789025,2017.25
Myanmar,4.38300001525879,0.474262110080719,0.9774191881866461,0.45255651374053957,0.4973164069824218,0.723533032196045,0.1863172409334182,2017.0
Namibia,4.556999970436095,0.9125760814237595,1.099022701768875,0.382015452849865,0.4816108868455887,0.06902093623876573,0.0792817430895567,2017.5
Nepal,4.812399978637696,0.43141003837203973,1.038952652259826,0.5579201561393738,0.4316491896514892,0.33713123317909244,0.07382510922431947,2017.0
Netherlands,7.404599971008301,1.4110129270782479,1.349645844657898,0.8785692250061036,0.5896508976211547,0.4151499659557342,0.2986143650836944,2017.0
New Zealand,7.313000025939942,1.317509209602356,1.439729024734498,0.8916179411087036,0.6177824260902404,0.43280502519989017,0.4000153404254914,2017.0
Nicaragua,6.027400019836426,0.6772778407745361,1.193653141937256,0.716673192123413,0.4860243693008422,0.25711084339714063,0.14835559636878962,2017.0
Niger,4.104599975585939,0.126605066151619,0.8023950009727479,0.282839001405716,0.385797739282608,0.1990487691059112,0.13354458923816678,2017.0
Nigeria,5.127399976348876,0.7150532512207032,1.009614096603394,0.11221314604759217,0.380966513086319,0.2302934392967224,0.03398431321442128,2017.0
North Cyprus,5.758666647593181,1.2887937703832,1.0248811257171633,0.8665424127515157,0.4658112084007264,0.26391856770833333,0.154644450809161,2016.0
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,2019.0
Northern Cyprus,5.7765,1.246,1.2315,0.9755,0.45599999999999996,0.185,0.158,2018.5
Norway,7.541000035858154,1.519380636871338,1.431074711914062,0.8733333005905152,0.6380485174789429,0.328990447462082,0.343950766904831,2017.0
Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524,2015.0
Pakistan,5.344000010681151,0.667894706123352,0.6088301379127502,0.45575355662727357,0.229891052315712,0.2800012038345336,0.1157576133494378,2017.0
Palestinian Territories,4.736600019073486,0.6568318455047608,1.052303431724548,0.6136513947181702,0.233628212343216,0.1054446347808838,0.09329252041435242,2017.0
Panama,6.53800002822876,1.1482676871948239,1.288162509750366,0.7760232269210816,0.5388793668022156,0.186139387848854,0.0729827847943306,2017.0
